customer_key,customer_id,customer_name,gender,birth_date,loyalty_tier,customer_segment,province,city,registered_date
113,CUST-0113,Hana Permana,Male,1991-09-07,Silver,Professional,Jawa Barat,Bandung,2023-04-29
114,CUST-0114,Dewi Wijaya,Male,1994-03-25,Platinum,Gadget Enthusiast,Jawa Timur,Surabaya,2024-08-08
115,CUST-0115,Wahyu Susanto,Female,1979-08-03,Silver,Family,Banten,Tangerang Selatan,2022-04-26
116,CUST-0116,Maya Siregar,Female,1989-01-02,Silver,Student,DKI Jakarta,Jakarta Barat,2024-11-04
117,CUST-0117,Nadia Gunawan,Female,2004-10-21,Silver,SMB,Bali,Denpasar,2022-11-05
118,CUST-0118,Budi Gunawan,Male,1991-11-06,Silver,Gadget Enthusiast,DKI Jakarta,Jakarta Barat,2024-12-09
119,CUST-0119,Tono Susanto,Female,2004-05-13,Gold,Family,Jawa Barat,Depok,2022-05-15
120,CUST-0120,Lina Saputra,Female,1983-12-28,Regular,SMB,Bali,Badung,2022-10-17
121,CUST-0121,Maya Lestari,Male,1994-12-03,Gold,SMB,Sumatera Utara,Deli Serdang,2022-07-11
122,CUST-0122,Putra Siregar,Female,1984-03-07,Regular,Professional,Jawa Timur,Surabaya,2022-11-14
123,CUST-0123,Citra Lestari,Female,2003-10-05,Regular,Professional,DKI Jakarta,Jakarta Pusat,2022-12-06
124,CUST-0124,Rani Pratama,Male,1989-10-10,Regular,Professional,Banten,Tangerang Selatan,2023-09-26
125,CUST-0125,Sari Santoso,Female,1989-05-25,Platinum,Professional,Jawa Timur,Sidoarjo,2022-10-11
126,CUST-0126,Indra Pratama,Female,1992-02-23,Regular,Professional,Sumatera Utara,Deli Serdang,2023-07-13
127,CUST-0127,Rani Siregar,Male,2005-04-27,Regular,SMB,Jawa Barat,Bogor,2024-02-05
128,CUST-0128,Hana Halim,Male,1975-06-04,Gold,Professional,DKI Jakarta,Jakarta Barat,2022-03-20
129,CUST-0129,Joko Gunawan,Female,1989-10-01,Regular,Professional,Sumatera Utara,Medan,2022-11-03
130,CUST-0130,Vina Susanto,Male,1999-05-08,Regular,Gadget Enthusiast,Bali,Badung,2024-07-25
131,CUST-0131,Citra Saputra,Male,1997-03-10,Silver,Professional,Banten,Tangerang,2024-05-03
132,CUST-0132,Fajar Saputra,Male,2005-09-18,Regular,Gadget Enthusiast,Bali,Badung,2022-03-31
133,CUST-0133,Nadia Permana,Male,1986-02-12,Regular,Family,Jawa Timur,Sidoarjo,2025-01-23
134,CUST-0134,Lina Wijaya,Female,1995-03-26,Silver,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2022-03-17
135,CUST-0135,Joko Santoso,Male,1985-05-17,Regular,Professional,DKI Jakarta,Jakarta Selatan,2023-08-09
136,CUST-0136,Maya Pratama,Female,1978-06-14,Silver,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2023-11-26
137,CUST-0137,Fajar Gunawan,Female,2004-09-09,Silver,Student,Sumatera Utara,Deli Serdang,2024-05-31
138,CUST-0138,Yuni Wijaya,Female,1978-02-11,Regular,SMB,Bali,Badung,2024-05-22
139,CUST-0139,Fajar Gunawan,Male,1998-06-20,Regular,Student,Jawa Timur,Malang,2022-06-03
140,CUST-0140,Nadia Permana,Male,1979-10-22,Regular,Student,Bali,Denpasar,2023-04-29
141,CUST-0141,Maya Permana,Male,1996-08-12,Gold,SMB,Banten,Tangerang,2022-10-09
142,CUST-0142,Tono Permana,Female,1982-02-01,Silver,Gadget Enthusiast,Banten,Tangerang Selatan,2025-02-24
143,CUST-0143,Dewi Lestari,Female,1981-10-10,Regular,Professional,Jawa Timur,Sidoarjo,2022-06-01
144,CUST-0144,Rani Wijaya,Male,2000-11-28,Silver,Student,Sumatera Utara,Deli Serdang,2025-01-31
145,CUST-0145,Vina Lestari,Male,2000-06-17,Platinum,Professional,Jawa Timur,Surabaya,2023-04-30
146,CUST-0146,Sari Pratama,Female,1989-09-05,Regular,Gadget Enthusiast,Jawa Timur,Sidoarjo,2024-12-12
147,CUST-0147,Putra Halim,Male,1985-11-03,Silver,Family,Bali,Denpasar,2022-09-20
148,CUST-0148,Vina Susanto,Female,1991-01-27,Regular,Family,Jawa Barat,Bekasi,2023-04-07
149,CUST-0149,Maya Siregar,Female,1981-11-18,Silver,SMB,Jawa Timur,Surabaya,2024-12-28
150,CUST-0150,Citra Siregar,Male,1980-11-20,Gold,SMB,Sumatera Utara,Medan,2022-03-26
151,CUST-0151,Adi Saputra,Male,1999-10-14,Gold,SMB,DKI Jakarta,Jakarta Barat,2023-08-17
152,CUST-0152,Joko Gunawan,Female,1989-02-23,Regular,Gadget Enthusiast,Jawa Barat,Bogor,2024-08-09
153,CUST-0153,Gita Permana,Female,2002-12-11,Platinum,Professional,Bali,Denpasar,2024-01-29
154,CUST-0154,Tono Siregar,Male,1989-02-09,Regular,Student,DKI Jakarta,Jakarta Barat,2023-08-18
155,CUST-0155,Nadia Susanto,Male,2001-06-19,Regular,Professional,Banten,Tangerang,2024-10-17
156,CUST-0156,Tono Gunawan,Female,1975-02-13,Platinum,Professional,Banten,Tangerang Selatan,2023-12-24
157,CUST-0157,Budi Pratama,Female,1984-09-01,Regular,Family,Jawa Timur,Malang,2024-01-20
158,CUST-0158,Nadia Permana,Male,1993-09-07,Regular,Gadget Enthusiast,DKI Jakarta,Jakarta Utara,2025-01-31
159,CUST-0159,Indra Susanto,Male,1978-07-12,Silver,Professional,Sumatera Utara,Medan,2024-11-08
160,CUST-0160,Nadia Siregar,Male,1979-12-11,Silver,Professional,DKI Jakarta,Jakarta Pusat,2024-11-21
161,CUST-0161,Eka Permana,Male,1987-10-24,Silver,SMB,Bali,Badung,2024-11-09
162,CUST-0162,Vina Gunawan,Female,2001-01-12,Silver,Family,Sumatera Utara,Deli Serdang,2023-04-12
163,CUST-0163,Budi Susanto,Female,1979-11-08,Platinum,Student,Banten,Tangerang,2023-01-26
164,CUST-0164,Adi Gunawan,Male,1988-12-07,Gold,Student,Jawa Timur,Malang,2022-10-10
165,CUST-0165,Tono Santoso,Female,1991-07-11,Regular,SMB,Bali,Badung,2023-12-03
166,CUST-0166,Vina Permana,Female,1981-04-09,Regular,Family,Sumatera Utara,Deli Serdang,2023-08-15
167,CUST-0167,Gita Gunawan,Female,1992-12-09,Silver,SMB,Jawa Timur,Malang,2024-02-17
168,CUST-0168,Nadia Permana,Male,1984-12-03,Regular,SMB,Jawa Barat,Depok,2023-07-10
169,CUST-0169,Vina Lestari,Male,1982-01-22,Regular,Family,Jawa Barat,Bandung,2024-08-25
170,CUST-0170,Dewi Wijaya,Female,1995-08-16,Silver,Family,DKI Jakarta,Jakarta Selatan,2023-10-20
171,CUST-0171,Joko Pratama,Male,2004-03-14,Platinum,Gadget Enthusiast,DKI Jakarta,Jakarta Selatan,2024-10-11
172,CUST-0172,Fajar Lestari,Female,1993-10-04,Regular,SMB,DKI Jakarta,Jakarta Pusat,2024-12-09
173,CUST-0173,Sari Wijaya,Female,1981-02-11,Silver,Family,Bali,Badung,2023-01-31
174,CUST-0174,Fajar Susanto,Female,1991-06-03,Platinum,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2023-10-25
175,CUST-0175,Hana Pratama,Male,1989-05-11,Silver,Professional,Jawa Timur,Malang,2022-05-08
176,CUST-0176,Dewi Gunawan,Female,1996-09-23,Silver,Family,Jawa Timur,Surabaya,2024-01-23
177,CUST-0177,Yuni Santoso,Female,1979-08-24,Silver,Gadget Enthusiast,Jawa Barat,Bekasi,2025-01-05
178,CUST-0178,Gita Santoso,Female,1991-12-12,Regular,SMB,Sumatera Utara,Medan,2024-11-01
179,CUST-0179,Gita Susanto,Male,1985-09-15,Regular,SMB,Bali,Denpasar,2024-07-01
180,CUST-0180,Budi Gunawan,Female,1993-01-18,Silver,Gadget Enthusiast,Jawa Barat,Bogor,2023-06-06
181,CUST-0181,Adi Santoso,Male,1988-06-23,Platinum,Student,Bali,Denpasar,2024-08-24
182,CUST-0182,Budi Lestari,Male,1999-11-24,Platinum,Gadget Enthusiast,Banten,Tangerang,2024-07-07
183,CUST-0183,Nadia Halim,Female,1978-03-18,Gold,Student,DKI Jakarta,Jakarta Selatan,2023-09-04
184,CUST-0184,Rani Siregar,Male,1982-08-12,Regular,Student,Banten,Tangerang Selatan,2022-03-07
185,CUST-0185,Putra Susanto,Male,1977-02-20,Silver,Student,DKI Jakarta,Jakarta Selatan,2023-05-17
186,CUST-0186,Budi Halim,Male,1999-01-05,Gold,SMB,Banten,Tangerang,2023-10-16
187,CUST-0187,Wahyu Susanto,Male,1984-03-22,Regular,Family,Sumatera Utara,Deli Serdang,2022-05-05
188,CUST-0188,Vina Susanto,Female,1992-08-02,Platinum,Gadget Enthusiast,Sumatera Utara,Medan,2024-12-10
189,CUST-0189,Lina Halim,Female,1987-03-25,Regular,Professional,Banten,Tangerang,2023-09-08
190,CUST-0190,Eka Gunawan,Female,1992-09-05,Regular,Family,DKI Jakarta,Jakarta Utara,2022-06-11
191,CUST-0191,Rani Permana,Male,1983-07-22,Gold,SMB,DKI Jakarta,Jakarta Selatan,2025-02-18
192,CUST-0192,Gita Gunawan,Female,2005-01-07,Platinum,Student,Jawa Barat,Depok,2024-09-07
193,CUST-0193,Hana Susanto,Female,2004-04-18,Regular,Family,Sumatera Utara,Medan,2023-09-24
194,CUST-0194,Indra Permana,Female,1978-12-16,Regular,Student,Bali,Badung,2023-03-30
195,CUST-0195,Eka Pratama,Female,1984-03-07,Regular,Professional,Jawa Timur,Sidoarjo,2024-10-19
196,CUST-0196,Vina Permana,Female,1989-03-24,Regular,SMB,Jawa Timur,Malang,2024-09-27
197,CUST-0197,Fajar Siregar,Male,2001-02-27,Gold,Gadget Enthusiast,Sumatera Utara,Medan,2022-10-09
198,CUST-0198,Hana Saputra,Male,1981-09-15,Silver,SMB,Sumatera Utara,Medan,2024-09-16
199,CUST-0199,Sari Pratama,Male,1975-09-24,Regular,Gadget Enthusiast,DKI Jakarta,Jakarta Utara,2023-01-03
200,CUST-0200,Dewi Saputra,Male,1981-10-17,Gold,Student,Bali,Denpasar,2024-02-04
201,CUST-0201,Nadia Gunawan,Male,1984-11-27,Silver,Student,Bali,Denpasar,2022-07-11
202,CUST-0202,Nadia Halim,Male,1995-01-23,Silver,Gadget Enthusiast,Banten,Tangerang Selatan,2023-11-10
203,CUST-0203,Wahyu Saputra,Male,1981-12-19,Regular,Student,Bali,Denpasar,2023-07-29
204,CUST-0204,Vina Susanto,Male,2004-06-01,Silver,Gadget Enthusiast,Sumatera Utara,Medan,2022-06-07
205,CUST-0205,Joko Wijaya,Female,1996-09-11,Gold,Student,Bali,Denpasar,2024-10-22
206,CUST-0206,Maya Pratama,Male,2001-02-11,Platinum,Family,DKI Jakarta,Jakarta Utara,2022-03-02
207,CUST-0207,Indra Gunawan,Female,1992-07-14,Gold,Family,Banten,Tangerang,2023-05-20
208,CUST-0208,Citra Saputra,Female,1997-11-05,Regular,Student,Jawa Timur,Surabaya,2022-07-07
209,CUST-0209,Adi Lestari,Female,1978-03-03,Regular,SMB,Banten,Tangerang Selatan,2024-11-15
210,CUST-0210,Putra Saputra,Female,1992-02-20,Regular,Gadget Enthusiast,DKI Jakarta,Jakarta Pusat,2022-06-23
211,CUST-0211,Vina Santoso,Female,1980-03-09,Silver,Student,Bali,Denpasar,2022-12-09
212,CUST-0212,Putra Lestari,Female,2000-02-12,Silver,Professional,Banten,Tangerang Selatan,2024-07-26
213,CUST-0213,Dewi Wijaya,Female,1985-10-13,Regular,SMB,Jawa Timur,Surabaya,2022-10-06
214,CUST-0214,Joko Permana,Female,1985-03-13,Regular,Gadget Enthusiast,Bali,Denpasar,2023-05-12
215,CUST-0215,Lina Halim,Female,1978-10-07,Silver,SMB,Jawa Timur,Malang,2022-02-25
216,CUST-0216,Rani Santoso,Male,2001-07-22,Silver,Professional,Banten,Tangerang Selatan,2023-06-02
217,CUST-0217,Eka Halim,Female,1994-08-19,Silver,Family,Banten,Tangerang,2025-01-04
218,CUST-0218,Yuni Saputra,Female,1980-11-20,Platinum,Gadget Enthusiast,DKI Jakarta,Jakarta Selatan,2023-11-11
219,CUST-0219,Putra Saputra,Female,1982-09-24,Regular,Gadget Enthusiast,DKI Jakarta,Jakarta Pusat,2024-08-06
220,CUST-0220,Wahyu Siregar,Male,1990-02-10,Regular,Professional,Jawa Barat,Depok,2023-12-15
221,CUST-0221,Joko Permana,Female,1986-08-04,Regular,Family,Banten,Tangerang,2022-04-02
222,CUST-0222,Dewi Pratama,Male,1996-03-24,Silver,Gadget Enthusiast,Jawa Timur,Sidoarjo,2023-04-20
223,CUST-0223,Nadia Wijaya,Female,1975-12-20,Regular,Gadget Enthusiast,Jawa Barat,Bogor,2024-03-07
224,CUST-0224,Adi Santoso,Male,1993-02-26,Regular,Gadget Enthusiast,Jawa Barat,Depok,2022-08-22
225,CUST-0225,Indra Gunawan,Female,1994-07-19,Regular,Gadget Enthusiast,Bali,Badung,2022-12-20
226,CUST-0226,Joko Susanto,Male,1985-02-08,Regular,Professional,Bali,Denpasar,2024-11-12
227,CUST-0227,Nadia Halim,Female,1988-03-16,Silver,Gadget Enthusiast,Bali,Denpasar,2023-08-15
228,CUST-0228,Eka Wijaya,Male,2002-06-01,Regular,Gadget Enthusiast,Jawa Timur,Malang,2025-02-24
229,CUST-0229,Tono Gunawan,Female,1997-08-16,Silver,Professional,Banten,Tangerang Selatan,2023-08-22
230,CUST-0230,Budi Lestari,Male,1999-08-19,Silver,Student,Jawa Barat,Depok,2022-08-22
231,CUST-0231,Indra Siregar,Male,1999-12-15,Platinum,Student,Jawa Timur,Sidoarjo,2023-05-22
232,CUST-0232,Joko Pratama,Female,2002-02-15,Regular,SMB,Banten,Tangerang Selatan,2023-12-20
233,CUST-0233,Yuni Halim,Male,2001-04-26,Regular,Family,Jawa Barat,Bekasi,2025-01-08
234,CUST-0234,Fajar Permana,Female,1993-05-28,Regular,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2022-05-02
235,CUST-0235,Indra Wijaya,Male,1979-12-11,Gold,Gadget Enthusiast,Sumatera Utara,Medan,2024-09-29
236,CUST-0236,Eka Susanto,Female,1987-08-03,Silver,Family,Sumatera Utara,Deli Serdang,2024-01-26
237,CUST-0237,Rani Gunawan,Male,2002-12-03,Regular,Gadget Enthusiast,Jawa Timur,Sidoarjo,2023-03-10
238,CUST-0238,Sari Lestari,Female,1992-10-05,Regular,Gadget Enthusiast,Jawa Timur,Malang,2022-02-03
239,CUST-0239,Dewi Wijaya,Male,2005-07-07,Gold,Family,Banten,Tangerang Selatan,2022-11-22
240,CUST-0240,Indra Saputra,Female,1977-06-22,Regular,Family,Sumatera Utara,Deli Serdang,2023-04-25
241,CUST-0241,Putra Saputra,Male,1981-08-03,Regular,Family,Sumatera Utara,Medan,2022-09-04
242,CUST-0242,Putra Wijaya,Male,1987-02-24,Regular,Family,Banten,Tangerang,2023-09-05
